iter	MultiClass
0	1.788172293
1	1.610936827
2	1.511793323
3	1.432633456
4	1.383736518
5	1.347243472
6	1.322680164
7	1.292199188
8	1.266668627
9	1.249708797
10	1.228223081
11	1.207469108
12	1.193615067
13	1.181597516
14	1.164958675
15	1.155113476
16	1.145746984
17	1.133585255
18	1.112760982
19	1.099693735
20	1.093761272
21	1.077414513
22	1.072541841
23	1.0680013
24	1.060537261
25	1.05405895
26	1.042338218
27	1.028466397
28	1.014406108
29	1.007821786
30	0.9983261679
31	0.9840890235
32	0.9751678746
33	0.9655838076
34	0.9564490816
35	0.9490901514
36	0.9417069413
37	0.9381861035
38	0.9311320834
39	0.9210351331
40	0.912694643
41	0.9063978953
42	0.9012856891
43	0.8958239065
44	0.8936946858
45	0.8869785092
46	0.8817989762
47	0.8773634266
48	0.8723128071
49	0.8674175608
50	0.8604482058
51	0.8513078097
52	0.8475261873
53	0.8384783716
54	0.8356208528
55	0.8341873152
56	0.8303273672
57	0.8283126873
58	0.8244029334
59	0.8183380089
60	0.8111884267
61	0.8057331685
62	0.7983724572
63	0.7953272681
64	0.7892658047
65	0.7872796338
66	0.783840876
67	0.7810596042
68	0.7783876158
69	0.7754201004
70	0.7727455245
71	0.7680012688
72	0.7668146047
73	0.7641587362
74	0.7609711856
75	0.7577252983
76	0.7550222181
77	0.751979436
78	0.7495979006
79	0.7478252074
80	0.7449667284
81	0.7403782263
82	0.7387322249
83	0.7318968771
84	0.730925921
85	0.7277292654
86	0.7234722658
87	0.7219002646
88	0.7203632731
89	0.717634179
90	0.7151962305
91	0.712334993
92	0.7086199269
93	0.7054216823
94	0.7030644785
95	0.6988018486
96	0.6936006592
97	0.6920731334
98	0.6898863562
99	0.687892039
100	0.68612268
101	0.6846119317
102	0.6826639599
103	0.6803938724
104	0.6764474555
105	0.6730057804
106	0.6694042874
107	0.6652195584
108	0.6624435159
109	0.6607877203
110	0.6559634039
111	0.6539509781
112	0.6525126829
113	0.646656542
114	0.6434953452
115	0.640168244
116	0.6384561549
117	0.6370560082
118	0.6355359611
119	0.6326034248
120	0.6287752076
121	0.6270079489
122	0.6259363472
123	0.6249738837
124	0.6242768104
125	0.6236756222
126	0.6207819668
127	0.6173092432
128	0.6145041446
129	0.6122616795
130	0.6105475152
131	0.6102697336
132	0.6091846197
133	0.6079766151
134	0.6064333717
135	0.6029092382
136	0.600014174
137	0.5982381376
138	0.596333905
139	0.5952674561
140	0.5943768793
141	0.5933953836
142	0.5925101657
143	0.5913890983
144	0.5905464996
145	0.5885925174
146	0.587267547
147	0.5838712567
148	0.5832396316
149	0.581665258
150	0.5802350649
151	0.5786380228
152	0.5757868915
153	0.5751752912
154	0.5736320027
155	0.571928886
156	0.5695459578
157	0.5652593701
158	0.5642458414
159	0.5634768543
160	0.5627531311
161	0.5601916594
162	0.5593030569
163	0.557026594
164	0.5562309324
165	0.5538617931
166	0.5528033974
167	0.5523518991
168	0.5514071685
169	0.5488872225
170	0.5470954521
171	0.5454529385
172	0.5435938648
173	0.5428668928
174	0.5425635494
175	0.540036596
176	0.5391842761
177	0.538073791
178	0.5359372085
179	0.5340422747
180	0.5330361175
181	0.5311992151
182	0.5291941472
183	0.5282595502
184	0.5277946967
185	0.527194788
186	0.5267275439
187	0.5257712827
188	0.5239256626
189	0.5229845723
190	0.522108337
191	0.5207790074
192	0.519524853
193	0.5184816538
194	0.5179258922
195	0.5157907773
196	0.514184762
197	0.5125806348
198	0.5103626061
199	0.5090493702
200	0.5086073608
201	0.5069340599
202	0.5054900037
203	0.5049651579
204	0.5045464154
205	0.5039552652
206	0.503327293
207	0.5009700683
208	0.5004854364
209	0.4989430324
210	0.4984406372
211	0.4977142097
212	0.4961951696
213	0.4941257687
214	0.4921726965
215	0.4916853856
216	0.4907256711
217	0.4900647716
218	0.4894389644
219	0.4888118935
220	0.4876705495
221	0.4869426981
222	0.4862472273
223	0.4852419094
224	0.4846766112
225	0.4840436432
226	0.4835173373
227	0.4822854543
228	0.4818990102
229	0.479539361
230	0.479209617
231	0.4785271257
232	0.4779833792
233	0.4767519003
234	0.4763746445
235	0.4761616573
236	0.4755579334
237	0.4748381464
238	0.4741100708
239	0.4721381096
240	0.471427229
241	0.4709126605
242	0.4691644502
243	0.4683063168
244	0.4677884982
245	0.4665881748
246	0.4661110699
247	0.4655591528
248	0.4652487207
249	0.4641249418
250	0.4630800283
251	0.4625418021
252	0.4607205506
253	0.460315601
254	0.4599462606
255	0.4594147527
256	0.458265016
257	0.4576931035
258	0.4569952633
259	0.4562396789
260	0.4550653466
261	0.4540919624
262	0.4538063542
263	0.452108688
264	0.4509658284
265	0.4506632746
266	0.4490539025
267	0.4486750389
268	0.4477091482
269	0.4474817257
270	0.4465283319
271	0.4460888066
272	0.4457721222
273	0.4454369348
274	0.4450567583
275	0.4448891953
276	0.4438446795
277	0.4422205164
278	0.4418686401
279	0.441637579
280	0.4408736309
281	0.4403756546
282	0.4394761183
283	0.4383508453
284	0.4382190154
285	0.4377679626
286	0.4375748398
287	0.4363170089
288	0.4361716033
289	0.4358354121
290	0.4357122527
291	0.4344179609
292	0.4335734152
293	0.4327414642
294	0.4323267762
295	0.4314459013
296	0.430813111
297	0.4305514305
298	0.4298186221
299	0.4290222004
