iter	Passed	Remaining
<<<<<<< HEAD
0	4	1271
1	8	1246
2	12	1201
3	15	1169
4	19	1141
5	23	1153
6	27	1146
7	31	1141
8	35	1140
9	39	1134
10	43	1129
11	46	1126
12	50	1123
13	55	1130
14	59	1132
15	63	1129
16	67	1125
17	71	1123
18	76	1124
19	80	1124
20	82	1098
21	86	1092
22	90	1094
23	95	1093
24	99	1089
25	103	1085
26	107	1083
27	111	1080
28	115	1081
29	120	1082
30	124	1080
31	128	1079
32	132	1074
33	136	1068
34	140	1065
35	144	1062
36	149	1066
37	153	1061
38	158	1060
39	162	1057
40	166	1052
41	170	1048
42	174	1044
43	178	1041
44	183	1039
45	187	1036
46	192	1035
47	196	1030
48	200	1024
49	204	1022
50	208	1017
51	212	1012
52	216	1006
53	220	1004
54	224	1000
55	228	995
56	232	989
57	236	985
58	240	980
59	244	976
60	248	971
61	252	969
62	256	964
63	260	961
64	264	956
65	268	952
66	272	947
67	276	942
68	280	939
69	285	937
70	289	933
71	293	928
72	297	923
73	301	919
74	304	914
75	308	910
76	313	908
77	317	904
78	321	900
79	325	896
80	329	892
81	334	888
82	337	883
83	341	879
84	346	875
85	350	873
86	355	869
87	359	865
88	363	861
89	367	858
90	371	854
91	376	850
92	380	847
93	385	844
94	389	840
95	393	836
96	397	832
97	401	827
98	406	824
99	410	820
100	414	816
101	418	812
102	422	808
103	426	804
104	430	799
105	435	796
106	439	792
107	443	788
108	447	783
109	451	779
110	455	775
111	459	771
112	463	767
113	468	763
114	472	759
115	476	756
116	481	752
117	485	748
118	489	744
119	493	740
120	498	736
121	502	732
122	506	728
123	510	724
124	514	720
125	518	716
126	523	712
127	527	708
128	531	704
129	535	700
130	539	696
131	543	692
132	548	688
133	551	683
134	556	679
135	560	675
136	564	671
137	568	667
138	572	662
139	576	658
140	580	654
141	583	649
142	588	646
143	593	642
144	597	638
145	601	634
146	605	630
147	609	625
148	613	621
149	617	617
150	622	614
151	626	610
152	630	606
153	635	602
154	639	597
155	643	593
156	646	589
157	651	585
158	656	581
159	660	577
160	664	573
161	668	569
162	672	565
163	676	560
164	681	557
165	685	553
166	689	549
167	694	545
168	698	541
169	702	537
170	706	533
171	710	528
172	714	524
173	719	520
174	723	516
175	727	512
176	731	508
177	735	504
178	739	499
179	743	495
180	746	491
181	750	486
182	754	482
183	758	478
184	762	474
185	766	469
186	770	465
187	775	461
188	779	458
189	783	453
190	787	449
191	792	445
192	796	441
193	800	437
194	804	433
195	809	429
196	812	425
197	816	420
198	820	416
199	824	412
200	828	408
201	833	404
202	837	400
203	841	395
204	845	391
205	849	387
206	852	383
207	857	379
208	861	375
209	865	371
210	869	366
211	874	362
212	878	358
213	882	354
214	886	350
215	890	346
216	894	342
217	899	338
218	903	334
219	908	330
220	912	326
221	915	321
222	919	317
223	924	313
224	929	309
225	933	305
226	937	301
227	941	297
228	945	293
229	949	288
230	953	284
231	957	280
232	961	276
233	965	272
234	969	268
235	973	264
236	977	259
237	981	255
238	984	251
239	989	247
240	993	243
241	998	239
242	1002	235
243	1006	231
244	1010	226
245	1014	222
246	1018	218
247	1022	214
248	1026	210
249	1031	206
250	1035	202
251	1039	197
252	1043	193
253	1047	189
254	1051	185
255	1055	181
256	1059	177
257	1063	173
258	1067	168
259	1071	164
260	1074	160
261	1078	156
262	1082	152
263	1086	148
264	1090	144
265	1094	139
266	1098	135
267	1102	131
268	1107	127
269	1111	123
270	1115	119
271	1119	115
272	1123	111
273	1127	106
274	1131	102
275	1135	98
276	1139	94
277	1144	90
278	1148	86
279	1152	82
280	1156	78
281	1160	74
282	1165	69
283	1169	65
284	1173	61
285	1177	57
286	1181	53
287	1185	49
288	1189	45
289	1193	41
290	1197	37
291	1202	32
292	1206	28
293	1210	24
294	1214	20
295	1218	16
296	1222	12
297	1226	8
298	1230	4
299	1235	0
=======
0	4	1423
1	9	1465
2	15	1511
3	20	1515
4	26	1554
5	31	1540
6	38	1617
7	62	2279
8	67	2167
9	74	2149
10	99	2618
11	104	2511
12	109	2425
13	134	2743
14	142	2698
15	151	2691
16	158	2631
17	165	2599
18	207	3064
19	215	3018
20	233	3105
21	240	3038
22	246	2963
23	253	2915
24	259	2855
25	265	2794
26	272	2752
27	278	2707
28	284	2657
29	290	2618
30	295	2568
31	300	2513
32	304	2467
33	310	2427
34	316	2395
35	320	2346
36	324	2308
37	328	2266
38	335	2242
39	339	2205
40	345	2180
41	353	2171
42	360	2153
43	365	2129
44	374	2123
45	382	2110
46	387	2088
47	395	2075
48	401	2054
49	409	2049
50	416	2031
51	421	2010
52	426	1986
53	433	1972
54	440	1962
55	447	1950
56	454	1938
57	460	1922
58	466	1905
59	472	1891
60	478	1875
61	488	1874
62	493	1855
63	499	1841
64	505	1828
65	512	1818
66	520	1810
67	526	1794
68	533	1787
69	540	1775
70	548	1769
71	553	1753
72	564	1756
73	569	1739
74	574	1724
75	582	1716
76	589	1706
77	596	1697
78	601	1682
79	607	1669
80	612	1655
81	620	1650
82	626	1638
83	631	1624
84	636	1610
85	644	1603
86	650	1593
87	658	1587
88	664	1574
89	668	1559
90	672	1544
91	676	1530
92	684	1523
93	688	1508
94	692	1495
95	697	1481
96	701	1467
97	705	1454
98	711	1444
99	718	1437
100	723	1425
101	727	1412
102	732	1401
103	737	1390
104	743	1381
105	748	1369
106	752	1356
107	758	1347
108	764	1340
109	769	1328
110	773	1317
111	778	1307
112	783	1296
113	791	1290
114	794	1278
115	798	1266
116	802	1255
117	806	1244
118	810	1233
119	816	1224
120	821	1214
121	825	1204
122	829	1193
123	833	1182
124	837	1173
125	841	1162
126	846	1152
127	849	1142
128	857	1136
129	863	1128
130	867	1118
131	871	1109
132	878	1102
133	881	1092
134	888	1085
135	892	1076
136	896	1066
137	900	1057
138	908	1051
139	912	1042
140	917	1034
141	921	1025
142	925	1015
143	928	1006
144	937	1001
145	941	992
146	945	983
147	949	974
148	954	966
149	957	957
150	964	951
151	967	942
152	972	934
153	976	925
154	980	917
155	984	909
156	989	901
157	994	894
158	998	885
159	1002	877
160	1006	868
161	1010	860
162	1014	853
163	1018	844
164	1022	836
165	1026	828
166	1031	821
167	1037	814
168	1040	806
169	1045	799
170	1050	792
171	1054	784
172	1057	776
173	1065	771
174	1069	763
175	1072	755
176	1076	748
177	1081	741
178	1085	734
179	1092	728
180	1097	721
181	1100	713
182	1104	706
183	1109	699
184	1113	692
185	1118	685
186	1122	678
187	1126	671
188	1130	663
189	1134	656
190	1138	649
191	1142	642
192	1145	635
193	1150	628
194	1155	622
195	1160	615
196	1165	609
197	1169	602
198	1174	595
199	1178	589
200	1182	582
201	1187	575
202	1191	569
203	1194	562
204	1198	555
205	1202	548
206	1209	543
207	1213	536
208	1217	530
209	1221	523
210	1226	517
211	1230	510
212	1236	505
213	1240	498
214	1244	492
215	1247	485
216	1251	478
217	1255	472
218	1260	466
219	1266	460
220	1270	454
221	1275	448
222	1279	441
223	1283	435
224	1288	429
225	1292	423
226	1296	416
227	1300	410
228	1307	405
229	1311	399
230	1314	392
231	1319	386
232	1323	380
233	1327	374
234	1330	368
235	1337	362
236	1341	356
237	1345	350
238	1349	344
239	1353	338
240	1356	332
241	1363	326
242	1366	320
243	1370	314
244	1374	308
245	1379	302
246	1382	296
247	1387	290
248	1390	284
249	1394	278
250	1398	273
251	1402	267
252	1409	261
253	1413	255
254	1419	250
255	1422	244
256	1426	238
257	1430	232
258	1437	227
259	1440	221
260	1444	215
261	1448	210
262	1452	204
263	1456	198
264	1460	192
265	1466	187
266	1470	181
267	1473	175
268	1478	170
269	1481	164
270	1488	159
271	1494	153
272	1498	148
273	1502	142
274	1505	136
275	1509	131
276	1516	125
277	1521	120
278	1525	114
279	1528	109
280	1534	103
281	1537	98
282	1541	92
283	1546	87
284	1550	81
285	1554	76
286	1558	70
287	1562	65
288	1567	59
289	1571	54
290	1576	48
291	1583	43
292	1587	37
293	1592	32
294	1596	27
295	1600	21
296	1604	16
297	1610	10
298	1614	5
299	1618	0
>>>>>>> e98b9335dd95b98df0a9bd1a4a54cd7b366aea1a
